,Titulo,Categoria,Año,Duracion,Cal. de critica,Cal. de usuarios
0,7 Days to Die ,Action & adventure,2016,59h,35,5.6
1,A Short Hike ,Action & adventure,2021,1.5h,tbd,8.1
2,A Way Out ,Action & adventure,2018,6.5h,79,7.8
3,Age of Empires II: Definitive Edition ,Strategy,2023,42.5h,tbd,9.0
4,Age of Empires IV: Anniversary Edition ,Strategy,2023,28.5h,?,?
5,Airborne Kingdom ,Action & adventure,2021,7.5h,tbd,tbd
6,Alice: Madness Returns ,Action & adventure,2011,14h,70,8.3
7,Amnesia: Collection ,Action & adventure,2018,16h,79,8.2
8,Amnesia: Rebirth ,Action & adventure,2022,8.5h,tbd,8.3
9,Amnesia: The Bunker ,Action & adventure,2023,5.5h,tbd,5.7
10,Among Us ,Action & adventure,2021,21.5h,tbd,tbd
11,Anthem ,Action & adventure,2019,14h,65,4.0
12,ANVIL : Vault Breaker Game Preview,Shooter,2021,3h,tbd,tbd
13,Arcade Paradise ,Simulation,2022,26h,tbd,tbd
14,ARK Ultimate Survivor Edition,Action & adventure,2021,32.5h,69,6.2
15,Army of Two ,Shooter,2009,6.5h,72,7.5
16,As Dusk Falls ,Action & adventure,2022,7h,tbd,6.8
17,Assassin's Creed Odyssey ,Action & adventure,2018,45.5h,87,6.4
18,Assassin's Creed Origins ,Action & adventure,2017,30h,85,7.7
19,Astroneer ,Action & adventure,2019,22.5h,73,7.0
20,Atomic Heart ,Action & adventure,2023,16h,tbd,6.3
21,Back 4 Blood Standard Edition,Shooter,2021,12h,tbd,6.2
22,Banjo-Kazooie ,Classics,2010,11.5h,77,8.3
23,Banjo-Kazooie: Nuts & Bolts ,Action & adventure,2010,16h,79,6.7
24,Banjo-Tooie ,Action & adventure,2010,17h,73,8.4
25,Batman: Arkham Knight ,Action & adventure,2015,17h,85,7.5
26,Battlefield 1: Revolution ,Action & adventure,2017,7h,tbd,4.0
27,Battlefield 1943 ,Action & adventure,2010,11h,83,7.9
28,Battlefield 2042 ,Shooter,2021,58.5h,tbd,1.4
29,Battlefield 3 ,Shooter,2011,6.5h,84,7.5
30,Battlefield 4 ,Shooter,2013,6.5h,81,6.8
31,Battlefield Hardline ,Shooter,2015,7.5h,71,5.3
32,Battlefield V ,Shooter,2018,6.5h,78,3.1
33,Battlefield: Bad Company ,Action & adventure,2010,7.5h,88,8.6
34,Battlefield: Bad Company 2 ,Action & adventure,2010,7h,88,8.6
35,Battletoads ,Action & adventure,2020,4h,72,6.5
36,Bejeweled 2 ,Puzzle & trivia,2005,1.5h,69,6.3
37,Bejeweled 3 ,Family & kids,2011,4.5h,78,8.3
38,Ben 10: Power Trip ,Action & adventure,2020,4.5h,tbd,6.0
39,Besiege Game Preview,Simulation,2023,5.5h,tbd,tbd
40,Black ,Shooter,2008,5.5h,77,8.0
41,BlazBlue: Cross Tag Battle Special Edition,Fighting,2023,4.5h,tbd,tbd
42,Bleeding Edge ,Fighting,2020,— h,66,6.2
43,BLiNX: The Time Sweeper ,Platformer,2018,11h,71,7.6
44,Bramble: The Mountain King ,Action & adventure,2023,5h,tbd,9.1
45,Broforce ,Action & adventure,2019,7h,?,?
46,Broken Age ,Action & adventure,2017,10.5h,78,5.3
47,Brütal Legend ,Action & adventure,2009,9.5h,82,8.0
