,Titulo,Categoria,Año,Duracion,Cal. de critica,Cal. de usuarios
253,Ninja Gaiden: Master Collection ,Action & adventure,2021,27h,72,7.2
254,No Man's Sky ,Action & adventure,2018,30.5h,77,7.5
255,NORCO ,Action & adventure,2022,6h,tbd,tbd
256,OPUS: Echo of Starsong Full Bloom Edition,Action & adventure,2022,10h,tbd,tbd
257,Ori and the Blind Forest: Definitive Edition ,Action & adventure,2016,9h,88,8.2
258,Ori and the Will of the Wisps ,Action & adventure,2020,12h,90,8.9
259,Overcooked! 2 ,Family & kids,2018,7h,83,7.0
260,Pac-Man Museum+ ,Action & adventure,2022,2.5h,64,tbd
261,Party Animals ,Action & adventure,2023,0.5h,tbd,tbd
262,PAW Patrol Mighty Pups Save Adventure Bay ,Action & adventure,2020,3h,tbd,tbd
263,PAW Patrol: Grand Prix ,Family & kids,2022,1.5h,tbd,tbd
264,Payday 2: Crimewave Edition ,Shooter,2015,24.5h,65,3.7
265,Peggle ,Puzzle & trivia,2009,4h,89,7.7
266,Peggle 2 ,Puzzle & trivia,2013,6h,77,7.1
267,Pentiment ,Action & adventure,2022,15h,tbd,6.4
268,Perfect Dark ,Classics,2010,8.5h,79,8.4
269,Perfect Dark Zero ,Action & adventure,2009,7.5h,81,7.2
270,Persona 3 Portable ,Role playing,2023,65h,tbd,6.1
271,Persona 4 Golden ,Role playing,2023,68.5h,tbd,9.6
272,Persona 5 Tactica ,Strategy,2023,— h,tbd,tbd
273,Phoenix Point ,Classics,2019,35h,tbd,tbd
274,Phoenix Wright: Ace Attorney Trilogy ,Action & adventure,2019,59.5h,?,?
275,Pikuniku ,Platformer,2020,3h,tbd,7.9
276,Pillars of Eternity II: Deadfire Ultimate Edition,Role playing,2020,42.5h,tbd,5.8
277,Pillars of Eternity: Complete Edition ,Role playing,2017,31.5h,86,7.3
278,Planet of Lana ,Platformer,2023,4.5h,tbd,4.2
279,Plants vs. Zombies ,Action & adventure,2010,8.5h,89,8.5
280,Plants vs. Zombies: Battle for Neighborville ,Shooter,2019,5h,76,5.6
281,Plants vs. Zombies: Garden Warfare ,Shooter,2014,8h,76,7.4
282,Plants vs. Zombies: Garden Warfare 2 ,Shooter,2016,8h,80,8.0
283,Potion Craft: Alchemist Simulator ,Puzzle & trivia,2021,20h,tbd,tbd
284,PowerWash Simulator ,Simulation,2022,36h,tbd,4.0
285,Prey ,Action & adventure,2017,16.5h,82,7.2
286,Psychonauts ,Action & adventure,2005,12h,88,8.8
287,Psychonauts 2 ,Action & adventure,2021,15h,91,6.4
288,Quake ,Shooter,2021,5.5h,tbd,7.9
289,Quake II ,Shooter,2023,8h,?,?
290,Quantum Break ,Action & adventure,2016,10h,77,7.3
291,RAGE ,Action & adventure,2011,11h,81,6.7
292,RAGE 2 ,Action & adventure,2019,11h,72,6.3
293,Railway Empire 2 ,Simulation,2023,29h,tbd,tbd
294,Rainbow Billy: The Curse of the Leviathan ,Action & adventure,2021,11.5h,85,4.2
295,Rare Replay ,Action & adventure,2015,25h,84,7.9
296,Ravenlok ,Action & adventure,2023,4h,tbd,2.0
297,ReCore ,Action & adventure,2016,12.5h,63,6.7
298,Remnant: From the Ashes ,Action & adventure,2019,13.5h,81,7.3
299,Research and Destroy ,Shooter,2022,14h,tbd,tbd
300,Roboquest ,Shooter,2023,6.5h,tbd,tbd
301,Rubber Bandits ,Action & adventure,2021,— h,tbd,tbd
302,Rune Factory 4 Special ,Action & adventure,2021,37.5h,83,tbd
303,Rush: A Disney-Pixar Adventure ,Family & kids,2017,3h,68,6.1
304,Ryse: Son of Rome ,Action & adventure,2014,6.5h,60,6.4
305,ScreamRide ,Action & adventure,2015,9h,71,4.8
306,SD Gundam Battle Alliance ,Action & adventure,2022,17.5h,tbd,tbd
307,Sea of Solitude ,Action & adventure,2019,3.5h,72,6.7
308,Sea of Stars ,Role playing,2023,— h,tbd,tbd
309,Sea of Thieves 2023 Edition,Action & adventure,2018,42.5h,69,5.3
310,Shadow Warrior 3 Definitive Edition,Action & adventure,2022,5.5h,tbd,tbd
311,Shadowrun Returns ,Role playing,2022,12h,tbd,tbd
312,Shadowrun: Dragonfall Director's Cut,Role playing,2022,20.5h,tbd,tbd
313,Shadowrun: Hong Kong Extended Edition,Role playing,2022,21h,tbd,tbd
314,Skate ,Sports,2010,10.5h,86,8.5
315,Skate 3 ,Sports,2014,9.5h,80,8.3
316,Slay The Spire ,Card & board,2019,12.5h,tbd,7.0
317,Slayers X: Terminal Aftermath: Vengance of the Slayer ,Action & adventure,2023,3.5h,tbd,tbd
318,Sniper Elite 5 ,Action & adventure,2022,10.5h,tbd,7.3
319,SnowRunner ,Simulation,2021,100.5h,81,7.2
320,Soccer Story ,Action & adventure,2022,12h,tbd,tbd
321,Solar Ash ,Action & adventure,2023,5.5h,?,?
322,SOMA ,Action & adventure,2017,9h,82,8.4
323,Somerville ,Action & adventure,2022,3.5h,tbd,3.5
324,Soul Hackers 2 ,Role playing,2022,33h,tbd,3.9
325,Spacelines from the Far Out ,Action & adventure,2022,4.5h,tbd,5.3
326,SpiderHeck ,Action & adventure,2022,9h,tbd,tbd
327,Spiritfarer ,Action & adventure,2020,25h,tbd,8.3
328,Spirittea ,Role playing,2023,— h,?,?
329,SSX ,Sports,2012,10h,82,6.4
330,Stacking ,Action & adventure,2011,4h,?,?
331,Star Wars Jedi: Fallen Order ,Action & adventure,2019,17.5h,81,8.2
332,Star Wars: Battlefront ,Shooter,2015,8h,75,4.6
333,Star Wars: Battlefront II ,Shooter,2017,6.5h,66,1.9
334,Star Wars: Squadrons ,Action & adventure,2020,9h,78,5.1
335,Stardew Valley ,Role playing,2016,53h,89,7.8
336,State of Decay 2 Juggernaut Edition,Action & adventure,2018,16h,tbd,7.9
337,State of Decay: Year-One ,Action & adventure,2015,17.5h,72,6.9
338,SteamWorld Build ,Simulation,2023,— h,?,?
339,Stellaris: Console Edition ,Simulation,2019,31.5h,81,7.6
340,Story of Seasons: Friends of Mineral Town ,Simulation,2021,29h,72,tbd
341,Stranded Deep ,Action & adventure,2020,20.5h,tbd,6.3
342,Sunset Overdrive ,Action & adventure,2014,10h,81,7.9
343,Super Lucky's Tale ,Platformer,2017,6h,64,7.0
344,Super Mega Baseball 3 ,Action & adventure,2020,17.5h,83,7.0
345,Superliminal ,Action & adventure,2020,2.5h,80,9.6
346,Supraland: Six Inches Under ,Action & adventure,2023,9h,tbd,tbd
347,Sword and Fairy: Together Forever ,Role playing,2022,20.5h,tbd,tbd
348,Techtonica Game Preview,Simulation,2023,— h,?,?
349,Teenage Mutant Ninja Turtles: Shredder's Revenge ,Action & adventure,2022,3h,87,8.1
350,Tell Me Why: Chapters 1-3 ,Action & adventure,2020,9.5h,74,5.8
351,Terraria ,Action & adventure,2014,52h,84,7.9
352,The Bard's Tale ARPG: Remastered and Resnarkled ,Action & adventure,2020,14h,tbd,6.0
353,The Bard's Tale IV: Director's Cut ,Action & adventure,2019,43.5h,tbd,6.7
354,The Bard's Tale Trilogy ,Classics,2019,23.5h,tbd,7.7
355,The Big Con ,Action & adventure,2021,4.5h,tbd,tbd
356,The Bookwalker: Thief of Tales ,Action & adventure,2023,6.5h,tbd,tbd
357,The Cave ,Action & adventure,2013,5h,69,tbd
358,The Elder Scrolls III: Morrowind ,Role playing,2018,43h,87,8.5
359,The Elder Scrolls IV: Oblivion ,Role playing,2010,29h,94,8.8
360,The Elder Scrolls Online ,Role playing,2017,49.5h,tbd,tbd
361,The Elder Scrolls V: Skyrim Special Edition ,Role playing,2016,26.5h,82,8.0
362,The Evil Within ,Action & adventure,2014,15.5h,82,9.0
363,The Evil Within 2 ,Action & adventure,2017,13.5h,82,9.0
364,The Gunk ,Action & adventure,2021,5h,69,4.7
365,The Last Case of Benedict Fox ,Action & adventure,2023,12.5h,tbd,5.8
366,The Outer Worlds ,Action & adventure,2019,13.5h,85,8.2
367,The Sims 4 EA Play Edition,Simulation,2022,21h,66,3.8
368,The Texas Chain Saw Massacre ,Action & adventure,2023,— h,tbd,tbd
369,The Walking Dead: A New Frontier - The Complete Season (Episodes 1-5) ,Action & adventure,2016,7.5h,78,6.6
370,"The Walking Dead: Michonne - Ep. 2, Give No Shelter ",Action & adventure,2016,1h,78,6.7
371,"The Walking Dead: Michonne - Ep. 3, What We Deserve ",Action & adventure,2016,1h,73,7.4
372,The Walking Dead: Michonne - The Complete Season ,Action & adventure,2016,4h,tbd,6.1
373,The Walking Dead: Season Two ,Action & adventure,2014,9.5h,tbd,7.9
374,The Walking Dead: The Complete First Season ,Action & adventure,2014,12.5h,tbd,8.2
375,The Walking Dead: The Final Season - The Complete Season ,Action & adventure,2018,— h,78,8.1
376,The Wandering Village Game Preview,Strategy,2023,14.5h,?,?
377,The Yakuza Remastered Collection ,Action & adventure,2021,68h,81,8.3
378,theHunter: Call of the Wild ,Action & adventure,2017,26h,83,5.9
379,Thirsty Suitors ,Action & adventure,2023,— h,?,?
380,Titanfall 2 ,Shooter,2016,6h,87,8.8
381,TOEM ,Action & adventure,2023,3.5h,tbd,tbd
382,Tom Clancy’s Ghost Recon Wildlands ,Shooter,2017,— h,76,6.9
383,Tom Clancy's Rainbow Six Siege Deluxe Edition,Shooter,2023,3.5h,74,7.1
384,Torment: Tides of Numenera ,Action & adventure,2017,27h,79,6.6
385,Totally Accurate Battle Simulator Game Preview,Fighting,2019,8.5h,tbd,7.0
386,Totally Reliable Delivery Service ,Action & adventure,2020,3.5h,63,6.7
387,Trailmakers ,Racing & flying,2019,12.5h,tbd,5.3
388,TUNIC ,Action & adventure,2022,12h,85,7.3
389,Turbo Golf Racing Game Preview,Racing & flying,TBA,— h,tbd,tbd
390,Unpacking ,Family & kids,2021,3.5h,81,7.0
391,Unravel ,Platformer,2016,6h,75,8.1
392,Unravel Two ,Platformer,2018,5h,81,7.5
393,Valheim Game Preview,Action & adventure,2022,78.5h,tbd,tbd
394,Vampire Survivors Game Preview,Action & adventure,2022,13h,tbd,7.0
395,Venba ,Puzzle & trivia,2023,— h,tbd,tbd
396,Viva Piñata ,Family & kids,2010,18.5h,84,8.0
397,Viva Piñata: Trouble in Paradise ,Family & kids,2009,32h,82,8.1
398,Wasteland 2: Director's Cut ,Action & adventure,2015,42.5h,77,6.9
399,Wasteland 3 ,Role playing,2020,37.5h,84,7.6
400,Wasteland Remastered ,Classics,2020,8h,tbd,6.6
401,Watch Dogs 2 ,Action & adventure,2016,19.5h,81,7.8
402,Wo Long: Fallen Dynasty ,Action & adventure,2023,26.5h,tbd,9.0
403,Wolfenstein II: The New Colossus ,Action & adventure,2017,11h,88,7.0
404,Wolfenstein: The New Order ,Action & adventure,2014,11.5h,79,8.1
405,Wolfenstein: The Old Blood ,Shooter,2015,6h,75,8.2
406,Wolfenstein: Youngblood ,Action & adventure,2019,9.5h,68,2.8
407,Wreckfest ,Action & adventure,2019,18.5h,83,6.8
408,Yakuza 0 ,Action & adventure,2020,32h,90,8.2
409,Yakuza 3 Remastered ,Action & adventure,2021,17h,tbd,6.8
410,Yakuza 4 Remastered ,Action & adventure,2021,21.5h,tbd,7.5
411,Yakuza 5 Remastered ,Action & adventure,2021,37h,tbd,7.8
412,Yakuza 6: The Song of Life ,Action & adventure,2021,18.5h,87,7.3
413,Yakuza Kiwami ,Action & adventure,2020,18h,81,8.0
414,Yakuza Kiwami 2 ,Action & adventure,2020,19h,88,8.3
415,Yakuza: Like a Dragon ,Role playing,2020,45.5h,89,8.6
416,You Suck at Parking® Complete Edition ,Racing & flying,2022,— h,tbd,tbd
417,Zombie Army 4: Dead War ,Action & adventure,2020,12h,tbd,tbd
418,Zoo Tycoon: Ultimate Animal Collection ,Family & kids,2017,15h,70,5.8
419,Zuma ,Puzzle & trivia,2005,4h,77,7.2
420,Zuma's Revenge! ,Action & adventure,2012,5.5h,76,7.1
