,Titulo,Categoria,Año,Duracion,Cal. de critica,Cal. de usuarios
141,Gears of War 2 ,Shooter,2010,10h,93,7.9
142,Gears of War 3 ,Shooter,2012,9.5h,91,8.1
143,Gears of War 4 ,Shooter,2016,9h,84,7.0
144,Gears of War: Judgment ,Shooter,2013,7h,79,5.7
145,Gears of War: Ultimate Edition ,Shooter,2015,9h,82,7.7
146,Gears Tactics ,Strategy,2020,25h,tbd,7.3
147,Generation Zero ,Action & adventure,2019,19h,50,6.3
148,Genesis Noir ,Action & adventure,2021,4.5h,81,7.3
149,Ghostlore Game Preview,Role playing,2022,8.5h,tbd,tbd
150,Goat Simulator ,Action & adventure,2015,2.5h,53,6.2
151,GoldenEye 007 ,Action & adventure,2023,8.5h,tbd,5.9
152,Golf With Your Friends ,Family & kids,2020,6h,68,4.6
153,Grand Theft Auto V ,Action & adventure,2014,32.5h,97,7.9
154,GRID Legends ,Racing & flying,2022,6.5h,tbd,5.7
155,Grim Fandango Remastered ,Action & adventure,2020,11h,tbd,6.9
156,GRIS ,Platformer,2022,3.5h,tbd,tbd
157,Grounded Game Preview,Action & adventure,2022,25.5h,tbd,5.2
158,Guilty Gear Strive ,Fighting,2023,5h,tbd,5.5
159,Halo 5: Guardians ,Shooter,2015,8h,84,6.4
160,Halo Infinite Campaign,Shooter,2021,11.5h,tbd,6.2
161,Halo Wars 2 Standard Edition,Strategy,2017,8h,79,6.4
